year p yr
2002.1162199683597 1.43793780815726 0.0
2003.0394994765072 1.4369534345265276 0.923279508147516
2003.9107664208325 1.436030634694414 1.7945464524727868
2004.4829046228776 1.4353533229096043 2.3666846545179396
2004.989696189804 1.434117119360924 2.873476221444207
2005.4833474007553 1.4326326604032047 3.3671274323955913
2006.0027950353528 1.430714186879938 3.886575066993146
2006.4962202450959 1.4287954827431935 4.380000276736155
2006.9764082412032 1.4264424181206847 4.860188272843516
2007.482263517409 1.4234071988303285 5.366043549049209
