JD p
2452479.0213437746 1.437466843778036
2452826.9791152314 1.4366303402902865
2453097.448344449 1.435213820250506
2453144.757248468 1.4353579202859748
2453235.0666601756 1.4355977160978937
2453496.720889637 1.4331620638574578
2453603.8257446676 1.4315566559333468
2453827.038229628 1.4302387526166815
2453878.551210454 1.429945823394001
2453899.811529394 1.4288771741927409
2453929.9390078518 1.4290703739507196
2453989.7140949587 1.4272237792877065
2454195.442627739 1.4245472184937653
2454251.1388214678 1.4237201733095022
2454307.1792696244 1.4244950587318919
2454289.580565968 1.422602424385732
2454344.901209411 1.4200278185396658
