m r
1.0000561391155183 1.0105010501050105
0.9999755266333148 0.998939893989399
0.9999510075947319 0.9967296729672968
0.9999191060136704 0.9941794179417942
0.9998776058888788 0.9912891289128913
0.9998236395324255 0.9880588058805881
0.9997535723745608 0.9843184318431843
0.9996625505690154 0.9802380238023802
0.9995444801431744 0.9756475647564757
0.9993913425624724 0.9707170717071707
0.9991930879999449 0.965106510651065
0.9989366235755134 0.9588158815881589
0.9986050894970022 0.952015201520152
0.9981771275740113 0.9445344534453446
0.9976253959518494 0.9363736373637364
0.9969152093595711 0.9273627362736274
0.996002367078134 0.9176717671767176
0.9948313698981744 0.9067906790679068
0.9933316315258341 0.8952295229522953
0.9914151304841398 0.8824782478247826
0.9889713754951507 0.8685368536853686
0.9858625758918504 0.8535753575357536
0.9819179823359327 0.8374237423742374
0.9769267963838035 0.8197419741974197
0.9706297017582487 0.8007000700070006
0.9627101227362672 0.7801280128012802
0.9527839575599363 0.7576857685768577
0.9403886273468931 0.7335433543354335
0.9249738385070171 0.7073607360736074
0.9058954486434666 0.6786278627862786
0.8824201456070961 0.6468346834683468
