m r
1.0000288166897433 0.9951995199519952
0.9994060395782525 0.9950295029502949
0.9992811236900057 0.9950295029502949
0.9991311573792081 0.9950295029502949
0.9989511145711005 0.9950295029502949
0.9987349596635533 0.9950295029502949
0.9984757163045214 0.9948594859485949
0.9981641317494746 0.9948594859485949
0.99779029813074 0.9946894689468946
0.9973411006769017 0.9946894689468946
0.9968019985564148 0.9945194519451945
0.9961543023255538 0.9945194519451945
0.9953767616182417 0.9943494349434943
0.9944428937754288 0.9941794179417942
0.9933214563111878 0.9938393839383939
0.9919739815160372 0.9936693669366936
0.9903553919526022 0.9933293329332933
0.9884104687199313 0.992989298929893
0.9860732935837112 0.9924792479247924
0.9832637853792148 0.991969196919692
0.9798859260875188 0.9912891289128913
0.9758234124068094 0.9904390439043904
0.9709356140402106 0.9894189418941894
0.9650525409423794 0.9880588058805881
0.9579674354271106 0.9865286528652866
0.9494297721297843 0.9846584658465847
0.9391345980787563 0.9822782278227822
0.9267099721140415 0.9792179217921793
0.9117010807423888 0.9754775477547755
0.8935522282122519 0.9705470547054704
0.871582616562048 0.964086408640864
