m r
1.0000570358272225 1.0105010501050105
1.0000023719989357 1.0055705570557056
0.9999855704819016 1.0045504550455044
0.9999636309913745 1.0033603360336034
0.9999349826255091 1.002000200020002
0.9998976461486195 1.0003000300030003
0.9998488970355822 0.9984298429842984
0.9997852739726285 0.9963896389638964
0.9997023476272742 0.9940094009400939
0.9995942773753832 0.9912891289128913
0.9994534084648596 0.9883988398839885
0.9992700486255334 0.984998499849985
0.9990313816880608 0.9812581258125812
0.9987209841428302 0.977007700770077
0.9983175262507105 0.9722472247224723
0.9977934627942231 0.9669766976697669
0.9971132723916819 0.9611961196119612
0.9962313742085834 0.9545654565456545
0.995088900964261 0.9472547254725472
0.9936104173275195 0.9392639263926392
0.991699477614438 0.9302530253025303
0.9892326310989069 0.9202220222022202
0.9860525510934046 0.909000900090009
0.9819590299492664 0.8965896589658966
0.9766982496798297 0.8826482648264826
0.9699490051711847 0.8671767176717671
0.9613066602336345 0.8498349834983498
0.9502635867383594 0.8302830283028302
0.9361872116258112 0.8080108010801079
0.918297380905877 0.7826782678267827
0.8956504847623521 0.7529252925292529
