time sep mass_bound mass_unbound r1 r2 r3 r4 r6 r10 r15 r20 r30
0.0 1.7 1.9317298241142775e-05 0.0003755381059197365 0.504587358893857 0.5046055767928055 0.504606281412244 0.5046065887546446 0.5046070299511394 0.5046079272262817 0.5046095076036364 0.5046118351923408 0.5046192289699525
15.000458398364376 1.6999999831524302 0.0004707565416814177 0.00037557316790534184 0.504164978511145 0.5046344297495735 0.5046352789738807 0.504635615032377 0.5046360928168413 0.5046370075813075 0.5046385887699876 0.5046409165816946 0.5046483269688123
224.67814075560335 1.599999430162469 0.002687954942046426 0.0004916164125160649 0.5017458168810692 0.5029122856973526 0.5030548229962255 0.5031654736185479 0.5034598170607579 0.5040144497280651 0.5043502785939128 0.5044647138756868 0.5045689859710273
260.80699425411444 1.499995997827724 0.004651880983986843 0.0010410474704334715 0.4992043872181199 0.5008558249431591 0.5012250849882683 0.5015165379401402 0.5021281455790334 0.5034476413312403 0.5041861960833349 0.5043871073950985 0.5045232252272693
271.5342228169164 1.3999904880290455 0.00584995823841032 0.0024044108599846534 0.49662584987961683 0.49883800558976044 0.4994782755342058 0.49996575989718506 0.5008568711850723 0.5028141359037821 0.5040587554930335 0.5043523927140211 0.5045035845060745
276.3832902072818 1.2999808460468714 0.007051435078589289 0.0039768802208059095 0.4938400059979336 0.496904801672471 0.4979020280821036 0.49862280035193246 0.49981312299382746 0.5022344178935887 0.5039710914062466 0.5043288598598908 0.5044901751771619
277.98100163900097 1.2499902127923357 0.007819613218843854 0.004829254902920252 0.492213172604495 0.495957019954788 0.49716161807285497 0.4979996453621928 0.49932578310197673 0.5019426892434917 0.5039269356795776 0.5043168926884752 0.5044832699596836
279.2185092005427 1.199977841098042 0.008579406306353263 0.005733065208286647 0.4905485265178054 0.4950147206430892 0.496472330882309 0.4974275671802599 0.498911682490228 0.501690847549343 0.5038907535349983 0.5043111805253057 0.5044817597691874
281.00106410886843 1.0999618313474286 0.010153925215507316 0.007635166389837635 0.48706729032340645 0.4931498501623082 0.49513499730170096 0.49641013854252536 0.49816149044370206 0.5012731585111195 0.5038292776016634 0.5042999504477503 0.5044764997475112
282.226613947062 0.9999509887005884 0.011739817414528826 0.009758471750241412 0.48336268749933775 0.4912886009384212 0.49383279843493455 0.495452906428166 0.4975481797204196 0.5009382347657032 0.5037907566873908 0.5042997849712647 0.5044805803425929
283.1178748301486 0.8999185282518198 0.013181396594237754 0.012180804001504859 0.47950499274739095 0.48938058430125625 0.49256607078316733 0.49453842682781757 0.49701618267167746 0.5006508460294039 0.5037631339459792 0.5043019531911171 0.5044863354022798
283.78563470520686 0.7998998358927677 0.014660315009959055 0.014680174000771467 0.47553707647407994 0.48740624334238486 0.49132477617477566 0.49368128137442463 0.49654972773484146 0.500419702459269 0.5037464282078828 0.5043088128298533 0.5044963216976338
284.3008323812798 0.6999106755850294 0.01632961679235021 0.01735731432946791 0.4712035462548816 0.4853333362909703 0.4900880480066349 0.492860411604341 0.4961311654172781 0.5002317390112321 0.5037368941022659 0.504318817152521 0.5045089380002548
284.71603432814004 0.5999551228664005 0.018346856756445085 0.020236280416645918 0.4663231850765922 0.48317964629594423 0.48881870476290984 0.4920581420971087 0.49572457738000103 0.5000634040160409 0.5037335812712629 0.5043323252782529 0.5045245675447364
