time sep mass_bound mass_unbound mass_bound_rL1 mass_unbound_rL1 rL1 r1 r2 r3 r4 r6 r10 r15 r20 r30
0.0 1.55 8.162393985751812e-06 1.457551772273814e-05 3.40658055231831e-07 1.457551772273814e-05 0.5947598855839981 0.5947520638480696 0.5947600840528505 0.5947601684075775 0.5947601933925294 0.5947602213583872 0.5947602667945072 0.5947603367336992 0.5947604332125035 0.5947607253028204
29.75185325207726 1.4999933092173823 0.00297592850784467 0.00014056791168685247 0.0003656642100728631 0.0001404809105306337 0.5943414776880392 0.5917311263891097 0.5946863450455636 0.5948140482260023 0.5948325878874181 0.5948330623477854 0.5948331380743772 0.5948332094509712 0.5948333059764066 0.5948336027191587
34.48408896715681 1.3999846759247003 0.004854087543965141 0.0014358848063026166 0.0014331966943264714 0.001435884794150455 0.5919821601018285 0.5885612692400372 0.5932526765540148 0.5942059267043135 0.5946666551783214 0.594835048527965 0.5948367933665389 0.5948368760048063 0.5948369725506368 0.594837271398369
36.95945517636079 1.2999619072508266 0.006537618535610279 0.0031904550426628806 0.0026624458095071447 0.003190454981734058 0.5890066521325897 0.5851314793455575 0.5913460052137044 0.5929533984061438 0.5939480167596674 0.5947991193520422 0.5948451139586289 0.5948452160470367 0.5948453126754429 0.5948456127346992
37.776980647863816 1.2499986470507534 0.007537548538056797 0.004008379572000656 0.0036052956342545956 0.00400837800482681 0.5872498512656693 0.5833175967946949 0.5904494340625815 0.5923127725157977 0.5935470487443075 0.5947332127721148 0.594849085358563 0.5948491972800746 0.5948492941803935 0.5948495946485198
38.43014219817869 1.199952623297392 0.008601880264163479 0.0048434021914748856 0.004578681685451583 0.004843402168041524 0.585445297675164 0.5814220990730182 0.5895669654811785 0.5917188139991411 0.5931434658638 0.5946336907478417 0.5948529406951791 0.5948530609878036 0.5948531585379039 0.5948534593350753
39.41970580423348 1.0999395763775799 0.010819934238569789 0.006658972987400175 0.007506649310591452 0.006658547089811913 0.5807089011171878 0.5773951902916217 0.5878080822847577 0.5906173474569002 0.5923430000523684 0.5943712484110529 0.5948596518266424 0.5948597874318331 0.5948598867610992 0.5948601880609288
40.14371089361446 0.9998916299214796 0.013008612969943614 0.00878671910370788 0.013008612969943614 0.00878671910370788 0.573085495145875 0.573085495145875 0.5860522038340196 0.5895722006359257 0.5916360176453661 0.5940785358249616 0.5948663697685548 0.5948665248507425 0.5948666260507635 0.5948669277219524
40.701076884849066 0.8998941704480613 0.01492308092554771 0.010951647223254824 0.01492308092554771 0.010951647223254824 0.5690160730016917 0.5690160730016917 0.5842741874242898 0.5885507767770739 0.5909876905753604 0.5937983262671852 0.5948763197497002 0.5948765049170619 0.5948766078280631 0.5948769097874314
41.14919322395608 0.7999262542062955 0.016972911230689065 0.013004595673061383 0.016972911230689065 0.013004595673061383 0.5649233114377237 0.5649233114377237 0.5824193745860821 0.5875367194358776 0.5903681674997107 0.5935301437315431 0.5948862606961158 0.5948865272254986 0.5948866316381757 0.5948869338306149
41.52642489898387 0.6998728452049627 0.019327829273192088 0.015170624363517411 0.019327829273192088 0.015170624363517411 0.5604206750502467 0.5604206750502467 0.5804395789825469 0.5864950041746668 0.5897478978810798 0.5932588368250054 0.5949043673544184 0.5949048419727915 0.594904947758822 0.5949052501481212
41.86658483143956 0.5999935043406754 0.022231101592808482 0.017468084028933573 0.022231101592808482 0.017468084028933573 0.555243998567142 0.555243998567142 0.5782946752211071 0.5853373445639668 0.589080572466067 0.592965511857466 0.5949279716986574 0.5949289013756176 0.594929008618803 0.5949293111856506
