#    ncycle     time           dt             m1             m2             x              y              z              vx             vy             vz             agas1x          agas1y          agas1z          agas2x          agas2y          agas2z          xcom            ycom            zcom            vxcom            vycom            vzcom            lpz             lgz             ldoz            Eorb            mb              mu              
                 362        1.303382e-01        3.639705e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17       -3.090975e-16        3.333817e-07        7.658480e-02       -4.476518e-16        1.123402e-01        6.840926e-02       -1.672114e-12       -3.225642e-02        9.057079e-06        1.460357e-05
                 389        1.401662e-01        3.640330e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        7.569734e-17       -3.217137e-16        3.333817e-07        7.658480e-02       -4.715506e-16        1.123402e-01        6.840924e-02       -1.780166e-12       -3.225642e-02        9.279254e-06        1.460357e-05
                 417        1.503601e-01        3.641008e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        7.569734e-17        1.892434e-16        3.333817e-07        7.658480e-02       -4.996537e-16        1.123402e-01        6.840923e-02       -1.889896e-12       -3.225642e-02        9.559994e-06        1.460357e-05
                 444        1.601917e-01        3.641689e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17        7.853599e-16        3.333817e-07        7.658480e-02       -5.276151e-16        1.123402e-01        6.840921e-02       -1.993511e-12       -3.225642e-02        9.885378e-06        1.460357e-05
                 471        1.700251e-01        3.642393e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        7.569734e-17        5.551138e-16        3.333817e-07        7.658480e-02       -5.508948e-16        1.123402e-01        6.840919e-02       -2.095015e-12       -3.225642e-02        1.027104e-05        1.460357e-05
                 499        1.802248e-01        3.643148e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        7.569734e-17       -7.033545e-16        3.333817e-07        7.658480e-02       -5.767432e-16        1.123402e-01        6.840918e-02       -2.198096e-12       -3.225642e-02        1.074009e-05        1.460357e-05
                 526        1.900623e-01        3.643898e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17        1.630647e-15        3.333817e-07        7.658480e-02       -6.030229e-16        1.123402e-01        6.840916e-02       -2.295434e-12       -3.225642e-02        1.126672e-05        1.460357e-05
                 554        2.002663e-01        3.644696e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        7.569734e-17       -5.645760e-16        3.333817e-07        7.658480e-02       -6.273560e-16        1.123402e-01        6.840914e-02       -2.394283e-12       -3.225642e-02        1.189782e-05        1.460357e-05
                 581        2.101080e-01        3.645482e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        7.569734e-17       -4.888787e-16        3.333817e-07        7.658480e-02       -6.476972e-16        1.123402e-01        6.840913e-02       -2.487625e-12       -3.225642e-02        1.259533e-05        1.460357e-05
                 609        2.203165e-01        3.646311e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17        2.176299e-16        3.333817e-07        7.658480e-02       -6.736196e-16        1.123402e-01        6.840911e-02       -2.582417e-12       -3.225642e-02        1.342005e-05        1.460357e-05
                 636        2.301626e-01        3.647122e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        7.569734e-17       -5.141111e-16        3.333817e-07        7.658480e-02       -6.968931e-16        1.123402e-01        6.840909e-02       -2.671927e-12       -3.225642e-02        1.432251e-05        1.460357e-05
                 663        2.400109e-01        3.647944e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17        3.154056e-18        3.333817e-07        7.658480e-02       -7.197846e-16        1.123402e-01        6.840907e-02       -2.759613e-12       -3.225642e-02        1.533927e-05        1.460357e-05
                 691        2.502263e-01        3.648807e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17        1.324703e-16        3.333817e-07        7.658480e-02       -7.391771e-16        1.123402e-01        6.840906e-02       -2.848660e-12       -3.225642e-02        1.652455e-05        1.460357e-05
                 718        2.600791e-01        3.649648e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17        1.293163e-16        3.333817e-07        7.658480e-02       -7.587421e-16        1.123402e-01        6.840904e-02       -2.932745e-12       -3.225642e-02        1.780393e-05        1.460357e-05
                 746        2.702993e-01        3.650525e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        7.569734e-17       -1.513947e-16        3.333817e-07        7.658480e-02       -7.839376e-16        1.123402e-01        6.840902e-02       -3.018135e-12       -3.225642e-02        1.928306e-05        1.460357e-05
                 773        2.801569e-01        3.651374e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17        5.866544e-16        3.333817e-07        7.658480e-02       -7.965169e-16        1.123402e-01        6.840901e-02       -3.098765e-12       -3.225642e-02        2.086789e-05        1.460357e-05
                 800        2.900167e-01        3.652219e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        5.046489e-17       -6.528896e-16        3.333817e-07        7.658480e-02       -8.258028e-16        1.123402e-01        6.840899e-02       -3.177751e-12       -3.225642e-02        2.262113e-05        1.460357e-05
                 828        3.002441e-01        3.653088e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        7.569734e-17       -4.794165e-16        3.333817e-07        7.658480e-02       -8.358563e-16        1.123402e-01        6.840897e-02       -3.257960e-12       -3.225642e-02        2.463091e-05        1.460357e-05
                 855        3.101085e-01        3.653919e-04        4.101190e-01        1.000000e-01        1.550000e+00        0.000000e+00        0.000000e+00        3.667183e-06        8.424293e-01        5.992662e-20       -1.387779e-16        5.551115e-16        7.494005e-15       -2.455209e-01        3.469447e-18        1.214306e-17        1.409097e-01        6.308112e-17       -2.113217e-16        3.333817e-07        7.658480e-02       -8.628753e-16        1.123402e-01        6.840896e-02       -3.333698e-12       -3.225642e-02        2.676658e-05        1.460357e-05
