time sep mass_bound mass_unbound r1 r2 r3 r4 r6 r10 r15 r20 r30
0.0 1.2 8.513850938231607e-06 4.4197641246691653e-08 0.5933971162314324 0.5934054946892372 0.5934055769752294 0.593405601552925 0.5934056290770546 0.5934056742800204 0.5934056742800204 0.5934056742800204 0.5934056742800204
24.209481758667067 1.1499990171769898 0.00019182757890232621 1.0412986683190213e-07 0.5932138739691623 0.5934053954505164 0.5934056205458115 0.5934056949483834 0.5934057520203855 0.5934058056779329 0.5934058056779329 0.5934058056779329 0.5934058056779329
47.729654961724265 1.1499982627041787 0.0002719414839734404 6.104076748560612e-09 0.5931339814250579 0.5934047375226483 0.5934052357545766 0.5934054675701586 0.5934056930851185 0.5934059290131075 0.5934059290131075 0.5934059290131075 0.5934059290131075
66.17306923366286 1.0999982678371827 0.0005443527904609789 2.400789738598292e-07 0.5928617243358092 0.5934018919101014 0.5934041492162628 0.5934050149065236 0.5934057313927766 0.5934063172052462 0.5934063172052462 0.5934063172052462 0.5934063172052462
74.93193844296864 1.049990752460915 0.0009391513783475133 2.1814705798101064e-06 0.592464253402185 0.5933925819576943 0.5934012653248797 0.5934033659480591 0.5934047027958991 0.5934055862511107 0.5934055862511107 0.5934055862511107 0.5934055862511107
77.10449580799066 0.9999922993343392 0.001328403024821167 3.322224145579819e-06 0.5920738819598902 0.5933799887602397 0.5933976646054088 0.5934022366562459 0.5934046326120738 0.5934056072088563 0.5934056072088563 0.5934056072088563 0.5934056072088563
79.07889706307228 0.9499886904571885 0.0017354121351102843 3.9639627873691584e-06 0.591666625360934 0.593370676602261 0.5933910577245922 0.5933999799838898 0.5934046316081012 0.5934060014588318 0.5934060014588318 0.5934060014588318 0.5934060014588318
81.2164117389637 0.8999878871584711 0.0021907856543070367 6.833942671140862e-06 0.5912098309816926 0.5933571121121131 0.5933871565754512 0.5933967688680947 0.5934048296045262 0.5934074505786717 0.5934074505786717 0.5934074505786717 0.5934074505786717
82.6713464549737 0.8499871850654647 0.0026039438817651293 1.3076856336838889e-05 0.59079097612373 0.593333974364819 0.5933827838904712 0.5933949699272651 0.5934041781934127 0.5934079968618329 0.5934079968618329 0.5934079968618329 0.5934079968618329
87.28537155584637 0.8499883786476355 0.003033348805381491 3.3618699075304794e-05 0.5903401457254256 0.593197532728238 0.5933246244967995 0.5933706120048426 0.5933991210351576 0.5934071132298799 0.5934071132298799 0.5934071132298799 0.5934071132298799
89.24605448848631 0.7999822700689085 0.003492201935555161 5.8412693860504334e-05 0.5898497987877516 0.5930785269222522 0.5932661649310806 0.5933372178928249 0.5933869980902698 0.5934004134171699 0.5934004134171699 0.5934004134171699 0.5934004134171699
89.94978489171804 0.7499591427552746 0.004451521072298742 7.337459228500532e-05 0.5888755411259994 0.5930198825555636 0.5932417920142576 0.5933248330949988 0.5933842114997334 0.5934004367905855 0.5934004367905855 0.5934004367905855 0.5934004367905855
90.44007179681516 0.6999589372642255 0.005183471803064557 9.514344436577667e-05 0.5881249166676747 0.5929775882982012 0.5932273625448201 0.5933186342415833 0.5933850348603901 0.5934035319151064 0.5934035319151064 0.5934035319151064 0.5934035319151064
92.92046519651448 0.6499591066575331 0.00597212443104651 0.00026334458713799544 0.5871655323742355 0.5926514436995389 0.5930676084850152 0.593243010821942 0.5933606381635516 0.5934010013924201 0.5934010013924201 0.5934010013924201 0.5934010013924201
93.3959933769539 0.5999745623611057 0.005514768952006272 0.00030231951186083356 0.587583457553311 0.5925704089405683 0.5930240316436606 0.5932161964590762 0.5933552144148524 0.5934005460171784 0.5934005460171784 0.5934005460171784 0.5934005460171784
